timestamp,dateofrequest,inquirytype,howcontacted,researchtype,servicetimeminutes,datecompleted
2016-07-12 10:42:31,2016-07-11,Public,Email,General historical research,60,2016-07-11
2016-07-12 10:52:10,2016-07-12,Public,Telephone,Transcript request/Education verification,5,2016-07-12
2016-07-12 12:36:34,2016-07-12,Public,Email,Environmental research,45,2016-07-12
2016-07-12 13:44:31,2016-07-12,Public,Email,Legal research,15,2016-07-12
2016-07-12 14:11:33,2016-07-12,Public,Telephone,Building or landscape research,5,2016-07-12
2016-07-13 10:32:48,2016-07-13,Public,Email,Building or landscape research,5,2016-07-13
2016-07-13 11:39:28,2016-07-11,Public,Email,Genealogy,15,2016-07-13
2016-07-13 13:50:59,2016-07-13,Public,Telephone,Vital records,5,2016-07-13
2016-07-13 15:45:58,2016-07-13,Public,In Person,Building or landscape research,120,2016-07-13
2016-07-13 15:46:53,2016-07-13,Public,In Person,Building or landscape research,120,2016-07-13
2016-07-13 15:47:38,2016-07-13,Public,Telephone,General historical research,5,2016-07-13
2016-07-14 10:31:20,2016-07-13,Public,Email,Genealogy,60,2016-07-14
2016-07-14 11:03:44,2016-07-14,Public,Telephone,Legal research,20,2016-07-14
2016-07-14 13:26:03,2016-07-14,City Government Department,In Person,Legal research,180,2016-07-14
2016-07-14 13:26:41,2016-07-14,Public,In Person,Building or landscape research,180,2016-07-14
2016-07-14 13:27:13,2016-07-14,Public,In Person,Building or landscape research,180,2016-07-14
2016-07-14 14:37:39,2016-07-14,Public,Email,General historical research,45,2016-07-14
2016-07-14 15:22:26,2016-07-12,Public,Email,Copyright inquiry,5,2016-07-14
2016-07-14 16:00:58,2016-07-14,Public,Telephone,Copyright inquiry,10,2016-07-14
2016-07-15 10:24:41,2016-07-15,Public,Telephone,Vital records,5,2016-07-15
2016-07-15 14:59:39,2016-07-15,Public,In Person,Building or landscape research,180,2016-07-15
2016-07-15 15:00:16,2016-07-15,Public,In Person,Building or landscape research,180,2016-07-15
2016-07-15 15:01:24,2016-07-15,Public,In Person,Legal research,60,2016-07-15
2016-07-15 15:06:50,2016-07-13,Public,Telephone,General historical research,5,2016-07-15
2016-07-15 15:10:09,2016-07-14,Public,Email,Environmental research,180,2016-07-15
2016-07-18 10:38:52,2016-07-14,Public,Telephone,Building or landscape research,30,2016-07-15
2016-07-18 11:37:59,2016-07-18,Public,Telephone,Genealogy,10,2016-07-18
2016-07-18 11:38:49,2016-07-18,Public,Telephone,Vital records,10,2016-07-18
2016-07-18 11:39:20,2016-07-18,Public,Telephone,General historical research,10,2016-07-18
2016-07-19 12:43:11,2016-07-19,Public,Telephone,Transcript request/Education verification,5,2016-07-19
2016-07-19 14:39:08,2016-07-19,Public,Telephone,Vital records,5,2016-07-19
2016-07-19 16:41:30,2016-07-19,Public,Telephone,Legal research,60,2016-07-19
2016-07-20 11:37:20,2016-07-20,City Government Department,Email,Transcript request/Education verification,10,2016-07-20
2016-07-20 11:56:57,2016-07-20,Public,Telephone,Building or landscape research,5,2016-07-20
2016-07-20 14:02:06,2016-07-20,Public,Telephone,Vital records,,2016-07-20
2016-07-20 15:13:34,2016-07-20,Public,Telephone,General historical research,5,2016-07-20
2016-07-21 9:42:35,2016-07-18,Public,Email,"Journalism (newspaper, magazine, television, web news source)",5,2016-07-21
2016-07-21 9:43:19,2016-07-20,Public,Telephone,Building or landscape research,10,2016-07-20
2016-07-21 9:44:43,2016-07-20,Public,Telephone,Building or landscape research,10,2016-07-20
2016-07-21 9:45:24,2016-07-20,Public,Telephone,Vital records,5,2016-07-20
2016-07-21 9:46:03,2016-07-20,Public,Telephone,Legal research,5,2016-07-20
2016-07-21 13:44:54,2016-07-21,Public,Telephone,Genealogy,5,2016-07-21
2016-07-21 13:45:40,2016-07-21,Public,Email,Legal research,45,2016-07-21
2016-07-21 16:43:14,2016-07-20,Public,Email,Building or landscape research,180,2016-07-21
2016-07-21 16:45:35,2016-07-11,City Government Department,Email,General historical research,60,2016-07-18
2016-07-21 16:47:35,2016-07-18,City Government Department,Email,General historical research,90,2016-07-21
2016-07-21 16:49:42,2016-07-21,Public,Telephone,General historical research,10,2016-07-21
2016-07-21 16:51:38,2016-07-19,Public,Email,General historical research,90,2016-07-20
2016-07-21 16:59:30,2016-07-19,Public,In Person,Building or landscape research,120,2016-07-19
2016-07-22 9:38:13,2016-07-22,Public,Telephone,General historical research,5,2016-07-22
2016-07-22 14:45:33,2016-07-21,Public,Email,Building or landscape research,30,2016-07-22
2016-07-22 14:46:12,2016-07-22,Public,Telephone,Vital records,10,2016-07-22
2016-07-22 16:10:08,2016-07-22,Public,Telephone,General historical research,5,2016-07-22
2016-07-22 16:12:08,2016-07-22,Public,In Person,Genealogy,300,2016-07-22
2016-07-22 16:12:46,2016-07-22,Public,In Person,Genealogy,300,2016-07-22
2016-07-22 16:16:40,2016-07-22,Public,Telephone,Transcript request/Education verification,5,2016-07-22
2016-07-22 16:16:50,2016-07-22,Public,In Person,General historical research,420,2016-07-22
2016-07-22 16:19:44,2016-07-22,Public,Telephone,Building or landscape research,5,2016-07-22
2016-07-25 8:29:24,2016-07-25,Public,Email,Vital records,5,2016-07-25
2016-07-25 8:44:27,2016-07-25,Public,Telephone,Secondary school academic research,1,2016-07-25
2016-07-25 10:15:02,2016-07-25,Public,Telephone,Book or academic article,5,2016-07-25
2016-07-25 14:26:53,2016-07-25,Public,Email,Film (documentary or feature),5,2016-07-25
2016-07-25 14:28:33,2016-07-25,Public,Telephone,Vital records,5,2016-07-25
2016-07-25 16:30:48,2016-07-25,Public,Telephone,Transcript request/Education verification,,2016-07-25
2016-07-25 16:53:37,2016-07-25,Public,Telephone,Vital records,5,2016-07-25
2016-07-26 10:22:43,2016-07-25,Public,In Person,Building or landscape research,20,2016-07-26
2016-07-26 10:23:44,2016-07-26,Public,Telephone,Vital records,5,2016-07-26
2016-07-26 10:24:38,2016-07-26,Public,Telephone,Graduate academic research,5,2016-07-26
2016-07-26 11:24:27,2016-07-26,Public,Email,Building or landscape research,110,2016-07-26
2016-07-26 13:58:49,2016-07-26,Public,In Person,Graduate academic research,180,2016-07-26
2016-07-26 14:00:44,2016-07-26,Public,Fax,Transcript request/Education verification,10,2016-07-26
2016-07-27 10:38:21,2016-07-26,Public,Email,Building or landscape research,15,2016-07-27
2016-07-27 10:46:06,2016-07-12,Public,Fax,Transcript request/Education verification,120,2016-07-22
2016-07-27 10:47:31,2016-07-25,Public,Telephone,Transcript request/Education verification,60,2016-07-25
2016-07-27 10:48:41,2016-07-25,Public,Telephone,General historical research,60,2016-07-27
2016-07-27 10:49:44,2016-07-27,Public,Email,Vital records,5,2016-07-27
2016-07-27 10:54:19,2016-07-21,Public,Email,Graduate academic research,10,2016-07-22
2016-07-27 10:58:39,2016-07-25,Public,Telephone,General historical research,30,2016-07-26
2016-07-27 11:34:15,2016-07-27,Public,In Person,Book or academic article,120,2016-07-27
2016-07-27 11:34:58,2016-07-27,Public,Telephone,Genealogy,10,2016-07-27
2016-07-27 15:45:27,2016-07-27,Public,Telephone,Book or academic article,30,2016-07-27
2016-07-27 16:22:46,2016-07-22,Public,Email,Genealogy,120,2016-07-27
2016-07-27 16:23:24,2016-07-27,Public,Telephone,Vital records,5,2016-07-27
2016-07-27 16:24:46,2016-07-26,City Government Department,Email,General historical research,60,2016-07-27
2016-07-27 16:34:01,2016-07-19,Public,Telephone,Building or landscape research,30,2016-07-27
2016-07-28 11:47:23,2016-07-28,Public,Telephone,Building or landscape research,5,2016-07-28
2016-07-28 11:48:12,2016-07-28,Public,Email,Transcript request/Education verification,10,2016-07-28
2016-07-29 9:21:36,2016-07-28,Public,Telephone,General historical research,5,2016-07-29
2016-07-29 9:22:38,2016-07-27,Public,Telephone,General historical research,45,2016-07-29
2016-07-29 12:37:40,2016-07-29,Public,Telephone,Graduate academic research,1,2016-07-29
2016-07-29 12:40:32,2016-07-29,City Government Department,Telephone,General historical research,10,2016-07-29
2016-07-29 14:01:00,2016-07-29,Public,Telephone,Vital records,1,2016-07-29
2016-07-29 14:02:48,2016-07-29,Public,Telephone,General historical research,1,2016-07-29
2016-07-29 14:03:20,2016-07-29,Public,Telephone,Vital records,1,2016-07-29
2016-07-29 14:44:48,2016-07-29,Public,Fax,Transcript request/Education verification,5,2016-07-29
2016-08-01 9:27:09,2016-07-28,Public,Telephone,General historical research,60,2016-07-29
2016-08-01 9:29:34,2016-07-29,Public,In Person,General historical research,90,2016-07-29
2016-08-01 11:11:51,2016-08-01,Public,Telephone,Vital records,5,2016-08-01
2016-08-01 11:12:48,2016-08-01,Public,Telephone,Building or landscape research,10,2016-08-01
2016-08-01 12:02:15,2016-07-27,Public,Email,Building or landscape research,30,2016-08-01
2016-08-01 12:10:41,2016-07-29,Public,Email,General historical research,30,2016-08-01
2016-08-01 12:11:29,2016-08-01,Public,Telephone,Building or landscape research,10,2016-08-01
2016-08-01 13:39:28,2016-08-01,Public,Email,Graduate academic research,15,2016-08-01
2016-08-01 13:55:50,2016-08-01,Public,Email,Graduate academic research,10,2016-08-01
2016-08-01 14:10:00,2016-08-01,Public,Email,General historical research,10,2016-08-01
2016-08-01 14:22:53,2016-08-01,Public,In Person,Building or landscape research,120,2016-08-01
2016-08-02 10:40:32,2016-08-01,Public,Mail,Transcript request/Education verification,20,2016-08-02
2016-08-02 10:41:29,2016-08-01,Public,Telephone,Building or landscape research,30,2016-08-02
2016-08-02 14:07:34,2016-08-02,Public,Telephone,Transcript request/Education verification,20,2016-08-02
2016-08-02 15:38:39,2016-08-02,Public,Telephone,Transcript request/Education verification,30,2016-08-02
2016-08-02 16:06:54,2016-08-02,Public,Email,Graduate academic research,20,2016-08-02
2016-08-03 10:29:53,2016-08-03,Public,Telephone,Vital records,5,2016-08-03
2016-08-03 13:52:19,2016-08-03,Public,Telephone,General historical research,5,2016-08-03
2016-08-03 16:06:57,2016-08-03,Public,Email,Genealogy,5,2016-08-03
2016-08-03 16:15:35,2016-08-03,Public,Email,Genealogy,5,2016-08-04
2016-08-04 10:34:11,2016-08-04,Public,Email,Genealogy,5,2016-08-04
2016-08-04 10:50:03,2016-07-26,Public,Email,Genealogy,20,2016-08-04
2016-08-04 11:17:28,2016-08-04,Public,In Person,General historical research,115,2016-08-04
2016-08-04 11:17:53,2016-08-04,Public,In Person,Book or academic article,115,2016-08-04
2016-08-04 14:45:07,2016-08-04,Public,Telephone,Transcript request/Education verification,1,2016-08-04
2016-08-05 8:27:49,2016-08-05,Public,Telephone,Other,1,2016-08-05
2016-08-05 8:53:30,2016-08-04,Public,Email,Graduate academic research,10,2016-08-05
2016-08-05 14:06:48,2016-08-04,Public,Email,Legal research,120,2016-08-05
2016-08-05 14:07:24,2016-08-04,Public,Telephone,Vital records,5,2016-08-04
2016-08-05 14:08:55,2016-08-03,City Government Department,Email,Building or landscape research,30,2016-08-03
2016-08-05 14:13:42,2016-07-30,Public,Email,Genealogy,10,2016-08-01
2016-08-05 14:40:58,2016-08-05,Public,Email,Building or landscape research,15,2016-08-05
2016-08-05 14:54:31,2016-08-05,Public,Telephone,General historical research,5,2016-08-05
2016-08-05 16:29:55,2016-08-05,Public,In Person,Graduate academic research,330,2016-08-05
2016-08-08 10:35:02,2016-08-05,Public,Email,General historical research,30,2016-08-08
2016-08-08 10:59:46,2016-08-08,Public,Telephone,Building or landscape research,5,2016-08-08
2016-08-08 13:44:32,2016-08-08,Public,In Person,Genealogy,180,2016-08-08
2016-08-08 15:05:48,2016-08-08,Public,Telephone,Building or landscape research,5,2016-08-08
2016-08-08 16:01:40,2016-08-08,Public,In Person,Building or landscape research,390,2016-08-08
2016-08-08 16:17:21,2016-08-08,Public,In Person,General historical research,330,2016-08-08
2016-08-08 16:19:00,2016-08-08,Public,In Person,Graduate academic research,420,2016-08-08
2016-08-08 16:49:29,2016-08-08,City Government Department,Email,General historical research,60,2016-08-08
2016-08-09 9:18:14,2016-08-09,Public,Email,Building or landscape research,15,2016-08-09
2016-08-09 9:39:22,2016-08-04,Public,In Person,Graduate academic research,120,2016-08-04
2016-08-09 9:40:14,2016-08-04,Public,In Person,Graduate academic research,120,2016-08-04
2016-08-09 9:40:56,2016-08-04,Public,In Person,Graduate academic research,120,2016-08-09
2016-08-09 10:09:34,2016-08-09,Public,Email,Environmental research,15,2016-08-09
2016-08-09 10:10:01,2016-08-09,Public,Telephone,Vital records,5,2016-08-09
2016-08-09 13:16:06,2016-08-09,City Government Department,Email,Legal research,30,2016-08-09
2016-08-09 14:06:16,2016-08-09,Public,Telephone,Legal research,30,2016-08-09
2016-08-09 15:13:33,2016-08-09,Public,Email,Environmental research,10,2016-08-09
2016-08-09 15:41:43,2016-08-09,Public,Telephone,Vital records,5,2016-08-09
2016-08-09 15:43:24,2016-08-09,Public,In Person,Building or landscape research,380,2016-08-09
2016-08-10 9:24:10,2016-08-10,Public,Email,"Journalism (newspaper, magazine, television, web news source)",10,2016-08-10
2016-08-10 10:55:54,2016-08-09,Public,Telephone,Legal research,15,2016-08-10
2016-08-10 10:56:59,2016-08-10,Public,Telephone,Undergraduate academic research,10,2016-08-10
2016-08-10 13:04:45,2016-08-10,City Government Department,Email,General historical research,20,2016-08-10
2016-08-10 13:59:51,2016-08-05,Public,Email,Legal research,45,2016-08-10
2016-08-10 14:20:02,2016-08-10,Public,Telephone,Vital records,,2016-08-10
2016-08-10 15:55:53,2016-08-10,Public,Telephone,Genealogy,30,2016-08-10
2016-08-10 15:56:42,2016-08-09,Public,Email,Book or academic article,10,2016-08-09
2016-08-10 15:57:43,2016-08-10,Public,In Person,Book or academic article,300,2016-08-10
2016-08-11 10:32:16,2016-08-10,Public,Email,General historical research,20,2016-08-11
2016-08-11 10:33:13,2016-08-10,Public,Telephone,Transcript request/Education verification,20,2016-08-11
2016-08-11 11:45:17,2016-08-10,Public,Email,Environmental research,10,2016-08-11
2016-08-11 11:46:31,2016-08-10,Public,Email,Environmental research,15,2016-08-11
2016-08-11 11:47:42,2016-08-10,Public,Email,Environmental research,30,2016-08-11
2016-08-11 15:31:02,2016-08-11,Public,Telephone,Vital records,5,2016-08-11
2016-08-12 14:32:36,2016-08-12,Public,In Person,Graduate academic research,170,2016-08-12
2016-08-12 15:37:38,2016-08-12,Public,In Person,,390,2016-08-12
2016-08-15 9:56:55,2016-08-13,Public,Email,Genealogy,5,2016-08-15
2016-08-15 13:08:06,2016-08-11,Public,Email,Copyright inquiry,30,2016-08-15
2016-08-15 13:08:57,2016-08-08,Public,Telephone,General historical research,60,2016-08-15
2016-08-15 13:15:53,2016-08-11,City Government Department,Email,Building or landscape research,30,2016-08-15
2016-08-15 13:24:33,2016-08-15,Public,Email,,5,2016-08-15
2016-08-15 13:32:35,2016-08-15,Public,Email,Environmental research,15,2016-08-15
2016-08-15 14:48:14,2016-08-15,Public,Email,Book or academic article,5,2016-08-15
2016-08-16 10:57:53,2016-08-15,Public,Telephone,General historical research,60,2016-08-16
2016-08-16 13:34:26,2016-08-16,Public,In Person,Legal research,120,2016-08-16
2016-08-16 15:18:00,2016-08-16,Public,Telephone,General historical research,5,2016-08-16
2016-08-16 15:58:16,2016-08-16,Public,In Person,Book or academic article,390,2016-08-16
2016-08-16 16:00:59,2016-08-16,Public,In Person,Building or landscape research,90,2016-08-16
2016-08-17 8:46:29,2016-08-16,City Government Department,Telephone,Legal research,60,2016-08-17
2016-08-17 9:09:15,2016-08-17,Public,Telephone,Copyright inquiry,,2016-08-17
2016-08-17 9:13:40,2016-08-16,Public,Telephone,Building or landscape research,15,2016-08-17
2016-08-17 9:47:08,2016-08-17,City Government Department,Email,General historical research,20,2016-08-17
2016-08-17 11:13:09,2016-08-17,City Government Department,Email,Legal research,45,2016-08-17
2016-08-17 11:21:14,2016-08-17,Public,Email,Book or academic article,20,2016-08-17
2016-08-17 11:43:21,2016-08-17,Public,Email,Copyright inquiry,15,2016-08-17
2016-08-17 12:33:30,2016-08-16,Public,Email,General historical research,60,2016-08-16
2016-08-17 12:34:46,2016-08-16,Public,Email,General historical research,60,2016-08-17
2016-08-17 12:44:21,2016-08-16,City Government Department,Email,Building or landscape research,30,2016-08-17
2016-08-17 13:06:42,2016-08-17,Public,Telephone,General historical research,20,2016-08-17
2016-08-17 15:49:25,2016-08-17,Public,In Person,Building or landscape research,340,2016-08-17
2016-08-18 10:47:13,2016-08-17,City Government Department,Telephone,Legal research,90,2016-08-18
2016-08-18 13:57:38,2016-08-18,City Government Department,Email,Building or landscape research,300,2016-08-18
2016-08-18 16:26:10,2016-08-17,Public,Email,General historical research,60,2016-08-18
2016-08-18 16:27:19,2016-08-18,Public,Telephone,Legal research,10,2016-08-18
2016-08-18 16:28:10,2016-08-18,Public,Telephone,Building or landscape research,10,2016-08-18
2016-08-19 10:51:14,2016-08-05,Public,Social Media,General historical research,5,2016-08-19
2016-08-19 13:27:44,2016-08-19,City Government Department,Telephone,Building or landscape research,20,2016-08-19
2016-08-22 9:43:36,2016-08-19,Public,In Person,General historical research,330,2016-08-19
2016-08-22 10:03:30,2016-08-19,Public,Telephone,Legal research,60,2016-08-22
2016-08-22 13:30:30,2016-08-22,Public,Telephone,Vital records,1,2016-08-22
2016-08-22 13:39:25,2016-08-22,Public,Telephone,Genealogy,30,2016-08-22
2016-08-22 14:38:59,2016-08-22,Public,Email,Graduate academic research,10,2016-08-22
2016-08-22 14:58:48,2016-08-19,Public,Email,Transcript request/Education verification,30,2016-08-22
2016-08-23 9:55:43,2016-08-23,City Government Department,In Person,Building or landscape research,60,2016-08-23
2016-08-23 15:36:17,2016-08-23,City Government Department,Email,General historical research,120,2016-08-23
2016-08-24 9:38:24,2016-08-23,Public,Telephone,Building or landscape research,20,2016-08-24
2016-08-24 9:39:30,2016-08-23,Public,Email,Environmental research,20,2016-08-24
2016-08-24 9:48:31,2016-08-23,Public,In Person,General historical research,330,2016-08-23
2016-08-24 9:50:38,2016-08-23,Public,In Person,General historical research,420,2016-08-23
2016-08-24 10:53:43,2016-08-23,Public,Email,Genealogy,5,2016-08-24
2016-08-24 12:23:21,2016-08-24,City Government Department,Email,General historical research,20,2016-08-24
2016-08-24 14:39:01,2016-08-23,City Government Department,Email,Transcript request/Education verification,10,2016-08-23
2016-08-24 14:39:47,2016-08-24,City Government Department,Email,Transcript request/Education verification,20,2016-08-24
2016-08-24 16:23:54,2016-08-24,Public,In Person,Environmental research,390,2016-08-24
2016-08-25 9:28:39,2016-08-25,Public,Email,Legal research,10,2016-08-25
2016-08-25 10:52:43,2016-08-25,Public,Email,General historical research,30,2016-08-25
2016-08-25 11:13:53,2016-08-25,Public,Telephone,Genealogy,5,2016-08-25
2016-08-25 13:32:30,2016-08-24,Public,Email,Environmental research,15,2016-08-25
2016-08-25 13:46:33,2016-08-24,Public,Telephone,Building or landscape research,20,2016-08-25
2016-08-25 14:00:10,2016-08-25,Public,Telephone,Vital records,5,2016-08-25
2016-08-25 14:00:57,2016-08-25,Public,Telephone,Other,5,2016-08-25
2016-08-25 14:01:26,2016-08-25,Public,Telephone,Vital records,5,2016-08-25
2016-08-25 14:02:28,2016-08-25,Public,Telephone,General historical research,5,2016-08-25
2016-08-25 14:03:55,2016-08-25,City Government Department,In Person,Building or landscape research,120,2016-08-25
2016-08-25 14:16:49,2016-08-15,Public,Email,Building or landscape research,20,2016-08-25
2016-08-26 10:41:07,2016-08-26,Public,In Person,Building or landscape research,40,2016-08-26
2016-08-26 13:02:24,2016-08-26,Public,Telephone,Vital records,5,2016-08-26
2016-08-26 13:11:59,2016-08-26,Public,Telephone,Vital records,5,2016-08-26
2016-08-26 15:21:14,2016-08-26,Public,Email,Legal research,15,2016-08-26
2016-08-26 15:23:11,2016-08-25,Public,Email,Legal research,60,2016-08-26
2016-08-26 16:04:40,2016-08-26,Public,Email,"Journalism (newspaper, magazine, television, web news source)",90,2016-08-26
2016-08-26 16:08:48,2016-08-26,Public,Email,Genealogy,5,2016-08-26
2016-08-26 16:30:36,2016-08-24,Public,Email,General historical research,5,2016-08-26
2016-08-29 9:15:46,2016-08-29,Public,Email,Graduate academic research,5,2016-08-29
2016-08-29 11:48:56,2016-08-29,Public,In Person,Genealogy,120,2016-08-29
2016-08-29 12:14:55,2016-08-29,Public,Email,Transcript request/Education verification,5,2016-08-29
2016-08-29 12:15:32,2016-08-29,City Government Department,Email,Building or landscape research,10,2016-08-29
2016-08-29 12:16:11,2016-08-29,City Government Department,Email,Building or landscape research,10,2016-08-29
2016-08-29 12:23:04,2016-08-28,Public,Email,Genealogy,10,2016-08-29
2016-08-29 12:25:27,2016-08-29,City Government Department,Email,Building or landscape research,120,2016-08-29
2016-08-29 12:43:33,2016-08-29,Public,Email,Environmental research,15,2016-08-29
2016-08-29 13:38:41,2016-08-29,Public,Email,Environmental research,15,2016-08-29
2016-08-29 13:45:54,2016-08-29,Public,Telephone,Transcript request/Education verification,5,2016-08-29
2016-08-29 14:03:26,2016-08-29,City Government Department,Email,Transcript request/Education verification,10,2016-08-29
2016-08-30 9:04:29,2016-08-29,Public,Telephone,Legal research,30,2016-08-29
2016-08-30 9:28:02,2016-08-30,Public,Email,Graduate academic research,5,2016-08-30
2016-08-30 10:44:36,2016-08-23,Public,Email,Film (documentary or feature),30,2016-08-30
2016-08-30 11:21:06,2016-08-30,Public,In Person,Legal research,120,2016-08-30
2016-08-30 11:33:55,2016-08-30,Public,Social Media,General historical research,20,2016-08-30
2016-08-30 14:23:48,2016-08-30,Public,Telephone,Legal research,5,2016-08-30
2016-08-30 14:25:25,2016-08-30,Public,In Person,General historical research,300,2016-08-30
2016-08-30 14:34:50,2016-08-30,City Government Department,,General historical research,10,2016-08-30
2016-08-30 16:24:21,2016-08-30,Public,In Person,Environmental research,420,2016-08-30
2016-08-31 10:32:06,2016-08-31,Public,Telephone,Vital records,5,2016-08-31
2016-08-31 12:07:10,2016-08-30,City Government Department,Email,General historical research,60,2016-08-31
2016-08-31 13:20:40,2016-08-31,Public,Telephone,Other,5,2016-08-31
2016-09-01 9:15:36,2016-08-31,Public,In Person,General historical research,90,2016-08-31
2016-09-01 9:17:33,2016-08-31,Public,Telephone,Other,5,2016-08-31
2016-09-01 9:19:08,2016-09-01,Public,Telephone,Vital records,5,2016-09-01
2016-09-01 9:20:56,2016-08-31,Public,Telephone,Building or landscape research,30,2016-08-31
2016-09-01 9:52:43,2016-08-31,Public,Email,Graduate academic research,25,2016-09-01
2016-09-01 11:46:30,2016-09-01,Public,In Person,General historical research,5,2016-09-01
2016-09-01 12:01:52,2016-09-01,Public,In Person,Legal research,150,2016-09-01
2016-09-01 14:55:06,2016-09-01,Public,Telephone,Genealogy,10,2016-09-01
2016-09-01 16:08:53,2016-09-01,Public,Email,Legal research,15,2016-09-01
2016-09-01 16:12:29,2016-09-01,Public,In Person,General historical research,120,2016-09-01
2016-09-01 16:12:55,2016-09-01,Public,Telephone,Vital records,5,2016-09-01
2016-09-06 10:45:33,2016-09-06,Public,Social Media,Copyright inquiry,5,2016-09-06
2016-09-06 13:03:07,2016-09-06,Public,Email,Building or landscape research,90,2016-09-06
2016-09-06 15:10:01,2016-09-06,Public,In Person,Book or academic article,240,2016-09-06
2016-09-06 15:27:33,2016-09-06,Public,Telephone,General historical research,30,2016-09-06
2016-09-06 15:35:08,2016-09-02,Public,Telephone,Genealogy,30,2016-09-06
2016-09-06 15:41:56,2016-09-01,Public,Telephone,Genealogy,15,2016-09-06
2016-09-06 16:05:22,2016-09-06,Public,In Person,Environmental research,420,2016-09-06
2016-09-07 10:01:51,2016-09-06,Public,Telephone,Transcript request/Education verification,5,2016-09-07
2016-09-07 11:35:53,2016-09-07,Public,Telephone,General historical research,5,2016-09-07
2016-09-07 15:47:31,2016-09-07,City Government Department,,,5,2016-09-07
2016-09-07 16:29:36,2016-09-07,Public,Email,Environmental research,25,2016-09-07
2016-09-08 10:26:46,2016-09-08,Public,Telephone,Other,1,2016-09-08
2016-09-08 11:05:25,2016-09-08,Public,Telephone,Other,1,2016-09-08
2016-09-08 12:17:57,2016-09-08,Public,Telephone,Vital records,5,2016-09-08
2016-09-08 13:23:17,2016-09-08,Public,Telephone,Other,5,2016-09-08
2016-09-09 11:14:37,2016-09-08,Public,In Person,Transcript request/Education verification,60,2016-09-08
2016-09-09 11:15:58,2016-09-09,Public,Telephone,Transcript request/Education verification,90,2016-09-09
2016-09-09 11:44:02,2016-09-09,Public,In Person,Graduate academic research,180,2016-09-09
2016-09-09 11:44:43,2016-09-09,Public,In Person,Graduate academic research,180,2016-09-09
2016-09-09 12:03:20,2016-09-09,Public,Telephone,Legal research,10,2016-09-09
2016-09-09 13:24:55,2016-09-09,Public,Telephone,Genealogy,10,2016-09-09
2016-09-09 13:36:06,2016-09-07,Public,Email,Legal research,10,2016-09-09
